run_label,philly_legacy,saturn_legacy,venus_gapfix600,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
OR-MAGM,1.189321711059681,1.09194460807315,1.0623651364850444,1.1132462863798247,AEGIS
HORUS__horus,1.073407500561606,1.171692050913346,1.0939881418677206,1.1122358976580549,Horus-style
LUCID,1.251697952012886,1.1815043982304034,1.153149495278067,1.1947402614396898,Lucid-style
