run_label,philly_legacy,saturn_legacy,venus_gapfix600,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
OR-MAGM,0.7022974899356533,0.7234606327535953,0.5989168437516719,0.6726164983846634,AEGIS
HORUS__horus,0.7404434317519683,0.6657865786637437,0.5503863880052157,0.6473883331580192,Horus-style
LUCID,0.5813328269216747,0.5886278498299446,0.3870992281867296,0.5097563600406376,Lucid-style
