run_label,philly_legacy,saturn_legacy,venus_gapfix600,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
OR-MAGM,0.8456706833938618,0.816863298323973,0.7496868425153819,0.8030517186729826,AEGIS
HORUS__horus,0.8981888539062609,0.8502058937979624,0.7871910775609795,0.8439641101823255,Horus-style
LUCID,0.882696704466461,0.8120691425325631,0.804802675663317,0.8324624285677118,Lucid-style
