trace,policy,raw_label,experiment_name,telemetry_file,metric,column,stat,value
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,drama,drama,max,0.628
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,power,power,mean,205.92523216829665
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,power,power,p50,250.542
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,power,power,p95,296.63
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,power,power,max,320.788
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,total_memory,mean,515.7959000000001
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p50,515.7959000000001
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p95,515.7959000000001
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,total_memory,max,515.7959000000001
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,free_memory,mean,321.5895688358419
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p50,322.4505
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p95,325.4605
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,free_memory,max,329.5951
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,used_memory,mean,16.90019859436249
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p50,16.4512
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p95,21.879525
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/top_data.csv,gpu_memory,used_memory,max,25.9055
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smact,risk_smact_threshold,mean,0.65
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smact,risk_smact_threshold,p50,0.65
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smact,risk_smact_threshold,p95,0.65
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smact,risk_smact_threshold,max,0.65
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smocc,risk_smocc_threshold,mean,0.35
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smocc,risk_smocc_threshold,p50,0.35
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smocc,risk_smocc_threshold,p95,0.35
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,smocc,risk_smocc_threshold,max,0.35
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,drama,risk_drama_threshold,mean,0.5
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,drama,risk_drama_threshold,p50,0.5
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,drama,risk_drama_threshold,p95,0.5
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/analysis/run_summary.csv,drama,risk_drama_threshold,max,0.5
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,mean,17178.143119694894
