run_label,philly,saturn,venus,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
OR-MAGM,1.7731985702013848,1.7765482774550274,1.38057854394144,1.632294442453668,AEGIS - EstimatorFree
OR-LUG,1.8578390450152729,,1.7335239901421151,1.794605403523764,OR-LUG
OR-RR,2.095962671545608,,1.6945937782317757,1.884623384819163,OR-RR
