experiment_name,run_label,display_name,run_dir,job_count,completed_job_count,completion_fraction,makespan_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,queue_wait_mean_s,queue_wait_p95_s,failed_attempt_count,recovered_attempt_count,total_recovery_queue_wait_s
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,memory_only_interference,memory_only_interference,evaluation/experiments/results/legacy_zeus_completed_snapshot__saturn_legacy__rep01__memory_only_interference/20260623-030541/OR-MAGM,60,60,1.0,29084.351803,10697.72694465,9134.723962,25738.380710849997,27031.51392413,2657.9395191333338,8680.026289450001,0,0,0.0
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,Exclusive,evaluation/experiments/results/legacy_zeus_completed_snapshot__saturn_legacy__rep01__exclusive/20260622-171258/exclusive,60,60,1.0,33743.977712,10427.558503949998,9638.432241999999,21829.3143576,27355.727668409978,7197.593404883333,15054.093700999998,0,0,0.0
final_representative_evaluation_legacy_zeus_aegis_smi60_fixed__saturn_legacy__rep01__aegis_estimator_free_smi60_fixed,fixed_smi60,fixed_smi60,evaluation/experiments/results/legacy_zeus_completed_snapshot__saturn_legacy__rep01__fixed_smi60/20260627-045809/OR-MAGM,60,60,1.0,25113.189408,8644.436203966667,7907.0101275,17592.256566849992,21809.918313749997,5059.947291016667,12137.12345945,0,0,0.0
final_representative_evaluation_legacy_zeus_aegis_smi70_fixed__saturn_legacy__rep01__aegis_estimator_free_smi70_fixed,fixed_smi70,fixed_smi70,evaluation/experiments/results/legacy_zeus_completed_snapshot__saturn_legacy__rep01__fixed_smi70/20260626-215156/OR-MAGM,60,60,1.0,23758.248082,8603.78166765,7898.237993000001,19731.981046399997,21088.492783009995,4733.022808799999,12173.734057349999,0,0,0.0
final_representative_evaluation_legacy_zeus_aegis_smi80_fixed__saturn_legacy__rep01__aegis_estimator_free_smi80_fixed,fixed_smi80,fixed_smi80,evaluation/experiments/results/legacy_zeus_completed_snapshot__saturn_legacy__rep01__fixed_smi80/20260626-142710/OR-MAGM,60,60,1.0,24867.495859,8481.517675683333,8089.628990499999,17238.120101999997,21383.016961079997,4632.051206166667,12013.4071496,0,0,0.0
