configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,initial_queue_wait_mean_s,initial_queue_wait_mean_s_vs_exclusive,initial_queue_wait_p95_s,initial_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,execution_span_mean_s,execution_span_mean_s_vs_exclusive,execution_span_p95_s,execution_span_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
exclusive,exclusive,1.0,33743.977712,1.0,0.0,7197.593404883333,1.0,15054.093700999998,1.0,10427.558503949998,1.0,21829.3143576,1.0,3227.54111835,1.0,8747.967757249997,1.0,3227.54111835,1.0,0,0
fixed_smi60,fixed_smi60,1.0,25113.189408,0.7442272995299327,25.577270047006728,5059.947291016667,0.7030054361758831,12137.12345945,0.8062340849282589,8644.436203966667,0.8289990605847113,17592.256566849992,0.8059005554943207,3581.7068450000006,1.1097323670445007,9132.026340149994,1.043902606131773,3581.7068450000006,1.1097323670445007,0,0
fixed_smi70,fixed_smi70,1.0,23758.248082,0.7040737249405874,29.59262750594126,4733.022808799999,0.6575840760314131,12173.73405735,0.8086660212923569,8603.78166765,0.8251003017044551,19731.9810464,0.9039212465933544,3867.84446825,1.198387356325096,10847.129297099991,1.2399599081867083,3867.84446825,1.198387356325096,0,0
fixed_smi80,fixed_smi80,1.0,24867.495859,0.7369461914431221,26.305380855687787,4632.051206166667,0.6435555533081336,12013.4071496,0.7980159674973981,8481.517675683333,0.8133752184147902,17238.120101999997,0.7896775784896994,3846.447851483333,1.191757970057941,8982.275569399999,1.0267842564869785,3846.447851483333,1.191757970057941,0,0
memory_only_interference,memory_only_interference,1.0,29084.351803,0.8619123700006788,13.808762999932123,2657.9395191333338,0.36928169870362615,8680.026289450001,0.5765890967500363,10697.72694465,1.0259090793494623,25738.38071085,1.1790741701371412,8034.525587566668,2.489364284745075,25097.4586833,2.8689473235083818,8034.525587566668,2.489364284745075,0,0
