configuration_label,run_label,policy,estimator,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_queue_wait_mean_s,total_queue_wait_p50_s,total_queue_wait_p95_s,jct_mean_s,jct_p50_s,jct_p95_s,total_execution_time_mean_s,execution_span_p50_s,total_execution_time_p95_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_failed_attempt_runtime_s,total_recovery_queue_wait_s
exclusive,exclusive,exclusive,,60,60,0,1.0,47406.446032,15241.4198891,13580.08052,36809.21193444999,17207.521583016667,14278.9171955,40915.85173475,1966.0740971833336,1678.538042,3581.0628991999984,1966.0740971833336,1678.538042,3581.0628991999984,0,0,0,0.0,0.0
or_lug,OR-LUG,OR-LUG,,60,60,0,1.0,35073.639877,6659.037473616668,5415.115293,23190.8412819,9985.667671616664,7986.8693865,24464.19937734999,3326.602401116667,3300.425574,7023.84977925,3318.9309654000003,3300.425574,6965.875576099999,5,5,0,460.286143,21122.915573
or_magm,OR-MAGM,OR-MAGM,,60,60,0,1.0,33248.588372,6696.877182266666,6102.7247515,20007.27915915,10037.939477550002,8453.5499785,21282.53611709999,3341.034022966667,2716.465265,9147.405206049998,3338.9332453,2620.785529,9147.405206049998,3,3,0,126.04666,9107.406326
or_rr,OR-RR,OR-RR,,60,60,0,1.0,34425.303956,6347.272117866667,4412.5333685000005,17494.51847049999,9951.864516883335,8634.1164865,22054.853672899997,3604.562742883333,3559.262358,8531.4842495,3601.568362333333,3235.819755,8531.4842495,7,7,0,179.662833,25708.028569
