workload_id,task_path,num_gpus,gpu_count,gpu_memory_requirement_mib,solo_runtime_s,profile_peak_memory_mib,horus_mib,faketensor_mib,gpumemnet_mib,lucid_class,lucid_ss
resnet18_cifar100_bs64_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,1,1,514.0,817.87,514,3620.3953,66.75673676,8000.0,tiny,0
resnet34_cifar100_bs128_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,1,1,684.0,275.78,684,11409.6445,145.3094711,8000.0,tiny,0
resnet34_cifar100_bs128_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,1,1,684.0,674.86,684,11409.6445,145.3094711,8000.0,medium,1
resnet34_cifar100_bs32_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,1,1,686.0,1044.05,686,3513.4539,94.27285004,8000.0,tiny,0
resnet34_cifar100_bs32_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,1,1,686.0,2666.51,686,3513.4539,94.27285004,8000.0,jumbo,2
resnet34_cifar100_bs64_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,1,1,688.0,524.07,688,6145.5171,110.7850571,8000.0,tiny,0
resnet34_cifar100_bs64_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,1,1,688.0,1508.42,688,6145.5171,110.7850571,8000.0,tiny,0
resnet50_imagenet_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,1,1,3560.0,5605.73,3560,7903.9316,2672.516029,16000.0,medium,1
resnet50_imagenet_bs64_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,1,1,6728.0,5466.45,6728,14910.3711,5337.0131,16000.0,jumbo,2
unet_voc_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,1,1,5378.0,4745.61,5378,2231.06,3404.085,8000.0,jumbo,2
vgg16_imagenet_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/vgg16_imagenet_bs32_1gpu.yaml,1,1,7072.0,8274.19,7072,21525.8262,3121.344643,16000.0,jumbo,2
xception_imagenet_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,1,1,5382.0,7935.08,5382,8531.7305,4166.470619,16000.0,jumbo,2
