experiment_name,run_label,display_name,run_dir,job_count,completed_job_count,completion_fraction,makespan_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,queue_wait_mean_s,queue_wait_p95_s,failed_attempt_count,recovered_attempt_count,total_recovery_queue_wait_s
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,aegis_magm_thresholded,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,60,60,1.0,34787.744417,10202.9449451,10870.6416895,15059.679750999996,18425.227175489985,7541.8385376333335,13089.958657899999,6,6,11029.695698
final_representative_evaluation__venus__rep01__exclusive,exclusive,Exclusive,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,60,60,1.0,44446.783741,16391.221068383333,19684.235861,24677.87237945,25321.899042209996,14463.681754733336,23847.17636905,0,0,0.0
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,aegis_lug_thresholded,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,60,60,1.0,32878.471162,8970.301836566668,9134.038817,14041.843228799999,18562.812756609976,5628.891811116668,11150.9192959,5,5,13211.832351000001
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,60,60,1.0,33587.57802,9246.369377483334,9614.1499765,14843.409968449998,17823.625573959984,6007.955378783332,11321.04145945,6,6,16894.492425
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,aegis_magm_no_thresholds,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,60,60,1.0,33998.065096,10100.942878216663,10791.0368925,15380.604676449999,18429.85990478999,6715.884000616667,11765.85346395,6,6,17383.341614999998
